Time,CO2 Sensor,,,,,,,,
오전 4:39:13,720.00,,,,,,,,
오전 4:39:14,718.00,,,,,,,,
오전 4:39:15,717.00,,,,,,,,
오전 4:39:16,717.00,,,,,,,,
오전 4:39:17,717.00,,,,,,,,
오전 4:39:18,718.00,,,,,,,,
오전 4:39:19,717.00,,,,,,,,
오전 4:39:20,715.00,,,,,,,,
오전 4:39:21,712.00,,,,,,,,
오전 4:39:22,710.00,,,,,,,,
오전 4:39:23,708.00,,,,,,,,
오전 4:39:24,707.00,,,,,,,,
오전 4:39:25,706.00,,,,,,,,
오전 4:39:26,707.00,,,,,,,,
오전 4:39:27,707.00,,,,,,,,
오전 4:39:28,708.00,,,,,,,,
오전 4:39:29,710.00,,,,,,,,
오전 4:39:30,711.00,,,,,,,,
오전 4:39:31,712.00,,,,,,,,
오전 4:39:32,713.00,,,,,,,,
오전 4:39:33,714.00,,,,,,,,
오전 4:39:34,715.00,,,,,,,,
오전 4:39:35,716.00,,,,,,,,
오전 4:39:36,716.00,,,,,,,,
오전 4:39:37,716.00,,,,,,,,
오전 4:39:38,716.00,,,,,,,,
오전 4:39:39,716.00,,,,,,,,
오전 4:39:40,718.00,,,,,,,,
오전 4:39:41,719.00,,,,,,,,
오전 4:39:42,721.00,,,,,,,,
오전 4:39:43,723.00,,,,,,,,
오전 4:39:44,725.00,,,,,,,,
오전 4:39:45,727.00,,,,,,,,
오전 4:39:46,729.00,,,,,,,,
오전 4:39:47,731.00,,,,,,,,
오전 4:39:48,733.00,,,,,,,,
오전 4:39:49,734.00,,,,,,,,
오전 4:39:51,734.00,,,,,,,,
오전 4:39:52,734.00,,,,,,,,
오전 4:39:53,734.00,,,,,,,,
오전 4:39:54,734.00,,,,,,,,
오전 4:39:55,734.00,,,,,,,,
오전 4:39:56,734.00,,,,,,,,
오전 4:39:57,734.00,,,,,,,,
오전 4:39:58,734.00,,,,,,,,
오전 4:39:59,733.00,,,,,,,,
오전 4:40:00,733.00,,,,,,,,
오전 4:40:01,733.00,,,,,,,,
오전 4:40:02,733.00,,,,,,,,
오전 4:40:03,733.00,,,,,,,,
오전 4:40:04,733.00,,,,,,,,
오전 4:40:05,733.00,,,,,,,,
오전 4:40:06,731.00,,,,,,,,
오전 4:40:07,730.00,,,,,,,,
오전 4:40:08,727.00,,,,,,,,
오전 4:40:09,726.00,,,,,,,,
오전 4:40:10,724.00,,,,,,,,
오전 4:40:11,725.00,,,,,,,,
오전 4:40:12,725.00,,,,,,,,
오전 4:40:13,727.00,,,,,,,,
오전 4:40:14,728.00,,,,,,,,
오전 4:40:15,728.00,,,,,,,,
오전 4:40:16,728.00,,,,,,,,
오전 4:40:17,726.00,,,,,,,,
오전 4:40:18,724.00,,,,,,,,
오전 4:40:19,722.00,,,,,,,,
오전 4:40:20,720.00,,,,,,,,
오전 4:40:21,718.00,,,,,,,,
오전 4:40:22,717.00,,,,,,,,
오전 4:40:23,715.00,,,,,,,,
오전 4:40:24,714.00,,,,,,,,
오전 4:40:25,712.00,,,,,,,,
오전 4:40:26,710.00,,,,,,,,
오전 4:40:27,708.00,,,,,,,,
오전 4:40:28,706.00,,,,,,,,
오전 4:40:29,704.00,,,,,,,,
오전 4:40:30,703.00,,,,,,,,
오전 4:40:31,701.00,,,,,,,,
오전 4:40:32,700.00,,,,,,,,
오전 4:40:33,698.00,,,,,,,,
오전 4:40:34,697.00,,,,,,,,
오전 4:40:35,696.00,,,,,,,,
오전 4:40:36,696.00,,,,,,,,
오전 4:40:37,696.00,,,,,,,,
오전 4:40:38,696.00,,,,,,,,
오전 4:40:39,696.00,,,,,,,,
오전 4:40:40,695.00,,,,,,,,
오전 4:40:41,694.00,,,,,,,,
오전 4:40:42,693.00,,,,,,,,
오전 4:40:43,692.00,,,,,,,,
오전 4:40:44,691.00,,,,,,,,
오전 4:40:45,691.00,,,,,,,,
오전 4:40:46,691.00,,,,,,,,
오전 4:40:47,691.00,,,,,,,,
오전 4:40:48,691.00,,,,,,,,
오전 4:40:49,691.00,,,,,,,,
오전 4:40:50,692.00,,,,,,,,
오전 4:40:51,693.00,,,,,,,,
오전 4:40:52,695.00,,,,,,,,
오전 4:40:53,696.00,,,,,,,,
오전 4:40:54,698.00,,,,,,,,
오전 4:40:55,699.00,,,,,,,,
오전 4:40:56,699.00,,,,,,,,
오전 4:40:57,699.00,,,,,,,,
오전 4:40:58,699.00,,,,,,,,
오전 4:40:59,700.00,,,,,,,,
오전 4:41:00,700.00,,,,,,,,
오전 4:41:01,701.00,,,,,,,,
오전 4:41:02,703.00,,,,,,,,
오전 4:41:03,704.00,,,,,,,,
오전 4:41:04,705.00,,,,,,,,
오전 4:41:05,706.00,,,,,,,,
오전 4:41:06,706.00,,,,,,,,
오전 4:41:07,705.00,,,,,,,,
오전 4:41:08,704.00,,,,,,,,
오전 4:41:09,702.00,,,,,,,,
오전 4:41:10,702.00,,,,,,,,
오전 4:41:11,700.00,,,,,,,,
오전 4:41:12,699.00,,,,,,,,
오전 4:41:13,697.00,,,,,,,,
오전 4:41:14,696.00,,,,,,,,
오전 4:41:15,695.00,,,,,,,,
오전 4:41:16,696.00,,,,,,,,
오전 4:41:17,697.00,,,,,,,,
오전 4:41:18,699.00,,,,,,,,
오전 4:41:20,700.00,,,,,,,,
오전 4:41:21,699.00,,,,,,,,
오전 4:41:22,698.00,,,,,,,,
오전 4:41:23,696.00,,,,,,,,
오전 4:41:24,694.00,,,,,,,,
오전 4:41:25,693.00,,,,,,,,
오전 4:41:26,692.00,,,,,,,,
오전 4:41:27,692.00,,,,,,,,
오전 4:41:28,692.00,,,,,,,,
오전 4:41:29,692.00,,,,,,,,
오전 4:41:30,692.00,,,,,,,,
오전 4:41:31,693.00,,,,,,,,
오전 4:41:32,694.00,,,,,,,,
오전 4:41:33,696.00,,,,,,,,
오전 4:41:34,698.00,,,,,,,,
오전 4:41:35,700.00,,,,,,,,
